slang,formal,category,length
bgt,banget,abreviasi,3
bngt,banget,abreviasi,4
bgttt,banget,abreviasi,5
bangat,banget,modifikasi vokal,6
bat,banget,abreviasi,3
bet,banget,abreviasi,3
bnget,banget,abreviasi,5
bgtt,banget,abreviasi,4
bgtttt,banget,abreviasi,6
banger,banget,salah ketik,6
bngtt,banget,abreviasi,5
nged,banget,abreviasi,4
binggo,banget,coinage,6
bingit,banget,modifikasi vokal,6
bngett,banget,abreviasi,6
banged,banget,subtitusi,6
bgd,banget,abreviasi,3
ckup,cukup,abreviasi,4
baget,banget,zeroisasi,5
banhet,banget,salah ketik,6
bngtzt,banget,abreviasi,6
begete,banget,abreviasi,6
ckp,cukup,abreviasi,3
skli,sekali,abreviasi,4
sgt,sangat,abreviasi,3
skali,sekali,zeroisasi,5
bget,banget,abreviasi,4
nget,banget,abreviasi,4
ngets,banget,abreviasi,5
bgect,banget,abreviasi,5
skalii,sekali,zeroisasi,6
sangt,sangat,abreviasi,5
beut,banget,abreviasi,4
bngttt,banget,abreviasi,6
batwc,banget,abreviasi,5
bgettt,banget,abreviasi,6
bangt,banget,abreviasi,5
aned,banget,subtitusi,4
sngt,sangat,abreviasi,4
babget,banget,salah ketik,6
beudd,banget,abreviasi,5
ngettt,banget,abreviasi,6
beud,banget,abreviasi,4
bets,banget,abreviasi,4
trlalu,terlalu,abreviasi,6
bngatt,banget,abreviasi,6
bangrt,banget,salah ketik,6
bhet,banget,zeroisasi,4
bettt,banget,abreviasi,5
bngeet,banget,abreviasi,6
trll,terlalu,abreviasi,4
nanget,banget,salah ketik,6
aneut,banget,subtitusi,5
battt,banget,abreviasi,5
bngy,banget,abreviasi,4
ngetsz,banget,abreviasi,6
agk,agak,abreviasi,3
anedh,banget,subtitusi,5
aneed,banget,subtitusi,5
