slang,formal,category,length
gitu,begitu,abreviasi,4
gtu,begitu,abreviasi,3
tu,itu,zeroisasi,2
ni,ini,zeroisasi,2
inih,ini,anaptiksis,4
gituuu,begitu,elongasi,6
iniw,ini,anaptiksis,4
ituu,itu,elongasi,4
gituh,begitu,zeroisasi,5
nii,ini,elongasi,3
gthu,begitu,abreviasi,4
it,itu,abreviasi,2
nie,ini,zeroisasi,3
bgtu,begitu,abreviasi,4
tuuu,itu,zeroisasi,4
inii,ini,elongasi,4
gt,begitu,abreviasi,2
inia,ini,anaptiksis,4
gtuu,begitu,abreviasi,4
geetoo,begitu,elongasi,6
gituu,begitu,elongasi,5
bgitu,begitu,abreviasi,5
iu,itu,abreviasi,2
ituh,itu,anaptiksis,4
in,ini,abreviasi,2
gtuh,begitu,abreviasi,4
bgtuu,begitu,abreviasi,5
ithu,itu,anaptiksis,4
giti,begitu,salah ketik,4
ne,ini,modifikasi vokal,2
thu,itu,zeroisasi,3
ituuuu,itu,elongasi,6
inihhh,ini,elongasi,6
giitu,begitu,elongasi,5
iniii,ini,elongasi,5
inni,ini,elongasi,4
nee,ini,modifikasi vokal,3
iniehh,ini,anaptiksis,6
ituuu,itu,elongasi,5
