slang,formal,category,length
daah,dah,elongasi,4
udah,sudah,zeroisasi,4
yeee,ya,elongasi,4
yaaa,ya,elongasi,4
keles,kali,coinage,5
gini,begini,abreviasi,4
yanckh,yang,anaptiksis,6
kaliii,kali,elongasi,6
yakk,ya,anaptiksis,4
kayakk,kayak,elongasi,6
masi,masih,zeroisasi,4
tetep,tetap,modifikasi vokal,5
masio,masih,salah ketik,5
yahhh,ya,anaptiksis,5
seehh,sih,modifikasi vokal,5
yank,sayang,zeroisasi,4
yahh,ya,anaptiksis,4
dapet,dapat,modifikasi vokal,5
kyanya,kayanya,abreviasi,6
bdan,badan,abreviasi,4
nyaaa,nya,elongasi,5
ngaku,mengaku,afiksasi,5
sblm,sebelum,abreviasi,4
bole,boleh,zeroisasi,4
lahhh,lah,elongasi,5
dtnggu,ditunggu,abreviasi,6
blom,belum,modifikasi vokal,4
yaaaa,ya,elongasi,5
sisain,menyisakan,afiksasi,6
edaaan,edan,elongasi,6
nyaaaa,nya,elongasi,6
ahhh,ah,elongasi,4
bgini,begini,abreviasi,5
ttep,tetap,abreviasi,4
sperti,seperti,zeroisasi,6
yach,ya,anaptiksis,4
ginii,begini,zeroisasi,5
tauu,tau,elongasi,4
skitar,sekitar,zeroisasi,6
sihhh,sih,elongasi,5
bukn,bukan,abreviasi,4
bleh,boleh,abreviasi,4
bisaa,bisa,elongasi,5
bisaaa,bisa,elongasi,6
kmauan,kemauan,abreviasi,6
ahhhh,ah,elongasi,5
yaudh,ya sudah,akronim,5
ksitu,kesitu,abreviasi,5
yaakkk,ya,elongasi,6
bangg,bang,elongasi,5
ihhhhh,ih,elongasi,6
sudh,sudah,abreviasi,4
sygkuu,sayangku,abreviasi,6
yaahhh,ya,elongasi,6
lahh,lah,elongasi,4
mauuu,mau,elongasi,5
yaah,ya,anaptiksis,4
udahh,sudah,zeroisasi,5
dlam,dalam,abreviasi,4
sichh,sih,anaptiksis,5
dstu,disitu,abreviasi,4
dahhhh,dah,elongasi,6
yaak,ya,elongasi,4
maauuu,mau,elongasi,6
adain,mengadakan,afiksasi,5
kaan,kan,elongasi,4
padet,padat,modifikasi vokal,5
dptkan,dapatkan,abreviasi,6
kalii,kali,elongasi,5
yahbh,ya,anaptiksis,5
msih,masih,abreviasi,4
sktika,seketika,abreviasi,6
massss,mas,elongasi,6
ksni,kesini,abreviasi,4
bkan,bukan,abreviasi,4
ihhh,ih,elongasi,4
yachhh,ya,anaptiksis,6
yuppss,ya,modifikasi vokal,6
diemin,diamkan,afiksasi,6
pdhl,padahal,abreviasi,4
sbelum,sebelum,abreviasi,6
apa2,apa-apa,reduplikasi,4
ihhhh,ih,elongasi,5
