slang,formal,category,length
met,selamat,abreviasi,3
ka,kak,zeroisasi,2
yaa,ya,elongasi,3
kk,kakak,abreviasi,2
sii,sih,zeroisasi,3
jgn,jangan,abreviasi,3
aja,saja,zeroisasi,3
rb,ribu,abreviasi,2
yah,ya,anaptiksis,3
yg,yang,abreviasi,2
lg,lagi,abreviasi,2
bnk,bang,abreviasi,3
sma,sama,abreviasi,3
lgu,lagu,abreviasi,3
jdi,jadi,abreviasi,3
lgi,lagi,abreviasi,3
gk,enggak,abreviasi,2
kek,kayak,abreviasi,3
bkn,bukan,abreviasi,3
tp,tapi,abreviasi,2
yng,yang,abreviasi,3
kn,kan,abreviasi,2
org,orang,abreviasi,3
yha,ya,anaptiksis,3
dhe,deh,homofon,3
ga,enggak,abreviasi,2
dgn,dengan,abreviasi,3
bs,bisa,abreviasi,2
ko,kok,zeroisasi,2
bhs,bahasa,abreviasi,3
gak,enggak,zeroisasi,3
d,ada,abreviasi,1
dhi,di,anaptiksis,3
yu,yuk,zeroisasi,2
tpi,tapi,abreviasi,3
kyk,kayak,abreviasi,3
sll,selalu,abreviasi,3
k,kak,abreviasi,1
klo,kalo,zeroisasi,3
gni,begini,abreviasi,3
hdk,hendak,abreviasi,3
jugaa,juga,elongasi,5
aj,saja,abreviasi,2
leh,boleh,abreviasi,3
ugaaa,juga,abreviasi,5
jugaaa,juga,elongasi,6
gw,gue,homofon,2
syg,sayang,abreviasi,3
pny,punya,abreviasi,3
ma,sama,zeroisasi,2
ny,nya,abreviasi,2
d,di,abreviasi,1
kri,kiri,abreviasi,3
pda,pada,abreviasi,3
cmn,cuman,abreviasi,3
atu,satu,zeroisasi,3
msh,masih,abreviasi,3
bru,baru,abreviasi,3
kgn,kangen,abreviasi,3
smg,semoga,abreviasi,3
tuk,untuk,zeroisasi,3
ea,ya,subtitusi,2
qu,ku,homofon,2
aza,saja,subtitusi,3
dr,dari,abreviasi,2
alm,almarhum,abreviasi,3
sie,sih,subtitusi,3
tuu,tuh,zeroisasi,3
gda,enggak ada,akronim,3
kta,kata,abreviasi,3
emk,emak,abreviasi,3
ajhh,saja,abreviasi,4
dlu,dulu,abreviasi,3
udh,sudah,abreviasi,3
jln,jalan,abreviasi,3
sdh,sudah,abreviasi,3
blm,belum,abreviasi,3
td,tadi,abreviasi,2
cm,cuma,abreviasi,2
wkt,waktu,abreviasi,3
ama,sama,zeroisasi,3
lht,lihat,abreviasi,3
trs,terus,abreviasi,3
jan,jangan,abreviasi,3
jga,juga,abreviasi,3
bls,balas,abreviasi,3
co,cowok,abreviasi,2
pst,pasti,abreviasi,3
laa,lah,zeroisasi,3
dlm,dalam,abreviasi,3
hdp,hidup,abreviasi,3
sja,saja,abreviasi,3
za,saja,abreviasi,2
cpt,cepat,abreviasi,3
y,ya,abreviasi,1
fto,foto,abreviasi,3
pke,pakai,abreviasi,3
emg,memang,abreviasi,3
ajha,saja,zeroisasi,4
ae,saja,coinage,2
kh,kah,abreviasi,2
kka,kakak,abreviasi,3
yak,ya,anaptiksis,3
