slang,formal,category,length
akuuu,aku,elongasi,5
akau,aku,anaptiksis,4
sayaa,saya,elongasi,5
aq,aku,abreviasi,2
dy,dia,homofon,2
qt,kita,abreviasi,2
kite,kita,modifikasi vokal,4
ak,aku,abreviasi,2
diaa,dia,elongasi,4
km,kamu,abreviasi,2
kamo,kamu,modifikasi vokal,4
kmu,kamu,abreviasi,3
kamuu,kamu,elongasi,5
aqu,aku,subtitusi,3
qta,kita,homofon,3
kqmu,kamu,salah ketik,4
merka,mereka,abreviasi,5
kmi,kami,abreviasi,3
sy,saya,abreviasi,2
mrk,mereka,abreviasi,3
ktaa,kita,abreviasi,4
q,aku,word-value letter,1
mreka,mereka,zeroisasi,5
kt,kita,abreviasi,2
dya,dia,subtitusi,3
sya,saya,abreviasi,3
y,saya,word-value letter,1
kemuh,kamu,modifikasi vokal,5
qm,kamu,abreviasi,2
km,kami,abreviasi,2
qmu,kamu,abreviasi,3
kam,kamu,abreviasi,3
alu,aku,salah ketik,3
amu,kamu,abreviasi,3
mrka,mereka,abreviasi,4
kitaa,kita,elongasi,5
amohhh,kamu,anaptiksis,6
eyke,aku,coinage,4
kitaaa,kita,elongasi,6
ktg,kita,abreviasi,3
kta,kita,abreviasi,3
akuu,aku,elongasi,4
akuh,aku,anaptiksis,4
mrekaa,mereka,zeroisasi,6
dieee,dia,modifikasi vokal,5
kiya,kita,salah ketik,4
akuhh,aku,elongasi,5
diaaa,dia,elongasi,5
