slang,formal,category,length
kpan,kapan,abreviasi,4
dmn,dimana,abreviasi,3
gimna,bagaimana,abreviasi,5
kpn,kapan,abreviasi,3
pa,apa,zeroisasi,2
apaaa,apa,elongasi,5
epe,apa,modifikasi vokal,3
knpa,kenapa,abreviasi,4
knp,kenapa,abreviasi,3
brp,berapa,abreviasi,3
dmana,dimana,abreviasi,5
brpa,berapa,abreviasi,4
kapn,kapan,abreviasi,4
ciapa,siapa,subtitusi,5
mna,mana,abreviasi,3
kanapa,kenapa,modifikasi vokal,6
gmn,bagaimana,abreviasi,3
gmana,bagaimana,abreviasi,5
apah,apa,anaptiksis,4
ape,apa,modifikasi vokal,3
bgmn,bagaimana,abreviasi,4
napa,kenapa,abreviasi,4
ap,apa,abreviasi,2
sp,siapa,abreviasi,2
gimana,bagaimana,abreviasi,6
gmna,bagaimana,abreviasi,4
kemn,kemana,abreviasi,4
kmn,kemana,abreviasi,3
syp,siapa,abreviasi,3
pan,kapan,abreviasi,3
bgmana,bagaimana,abreviasi,6
apaa,apa,elongasi,4
bgmna,bagaimana,abreviasi,5
dmna,dimana,abreviasi,4
siapaa,siapa,elongasi,6
kenape,kenapa,modifikasi vokal,6
knpp,kenapa,abreviasi,4
brapa,berapa,zeroisasi,5
himana,bagaimana,salah ketik,6
cpa,siapa,subtitusi,3
apo,apa,modifikasi vokal,3
kapaan,kapan,elongasi,6
siappa,siapa,elongasi,6
sypa,siapa,subtitusi,4
mn,mana,abreviasi,2
appa,apa,elongasi,4
kmana,kemana,abreviasi,5
gimn,bagaimana,abreviasi,4
