slang,formal,category,length
met,selamat,abreviasi,3
ka,kak,zeroisasi,2
daah,dah,elongasi,4
yaa,ya,elongasi,3
kk,kakak,abreviasi,2
sii,sih,zeroisasi,3
bgt,banget,abreviasi,3
akuuu,aku,elongasi,5
jgn,jangan,abreviasi,3
udah,sudah,zeroisasi,4
gitu,begitu,abreviasi,4
aja,saja,zeroisasi,3
rb,ribu,abreviasi,2
akau,aku,anaptiksis,4
yah,ya,anaptiksis,3
gtu,begitu,abreviasi,3
tu,itu,zeroisasi,2
yg,yang,abreviasi,2
lg,lagi,abreviasi,2
karna,karena,zeroisasi,5
yeee,ya,elongasi,4
bnk,bang,abreviasi,3
sayaa,saya,elongasi,5
kpan,kapan,abreviasi,4
sma,sama,abreviasi,3
bngt,banget,abreviasi,4
lgu,lagu,abreviasi,3
aq,aku,abreviasi,2
jdi,jadi,abreviasi,3
lgi,lagi,abreviasi,3
gk,enggak,abreviasi,2
kek,kayak,abreviasi,3
bkn,bukan,abreviasi,3
tp,tapi,abreviasi,2
dmn,dimana,abreviasi,3
gimna,bagaimana,abreviasi,5
yng,yang,abreviasi,3
kn,kan,abreviasi,2
org,orang,abreviasi,3
yha,ya,anaptiksis,3
dhe,deh,homofon,3
bgttt,banget,abreviasi,5
ga,enggak,abreviasi,2
dgn,dengan,abreviasi,3
yaaa,ya,elongasi,4
keles,kali,coinage,5
bs,bisa,abreviasi,2
gini,begini,abreviasi,4
ko,kok,zeroisasi,2
bhs,bahasa,abreviasi,3
gak,enggak,zeroisasi,3
kpn,kapan,abreviasi,3
dy,dia,homofon,2
d,ada,abreviasi,1
qt,kita,abreviasi,2
dhi,di,anaptiksis,3
yanckh,yang,anaptiksis,6
kaliii,kali,elongasi,6
bangat,banget,modifikasi vokal,6
yu,yuk,zeroisasi,2
tpi,tapi,abreviasi,3
yakk,ya,anaptiksis,4
kayakk,kayak,elongasi,6
kyk,kayak,abreviasi,3
bat,banget,abreviasi,3
sll,selalu,abreviasi,3
bet,banget,abreviasi,3
k,kak,abreviasi,1
klo,kalo,zeroisasi,3
masi,masih,zeroisasi,4
gni,begini,abreviasi,3
hdk,hendak,abreviasi,3
jugaa,juga,elongasi,5
aj,saja,abreviasi,2
tetep,tetap,modifikasi vokal,5
kite,kita,modifikasi vokal,4
pa,apa,zeroisasi,2
masio,masih,salah ketik,5
yahhh,ya,anaptiksis,5
leh,boleh,abreviasi,3
ugaaa,juga,abreviasi,5
jugaaa,juga,elongasi,6
apaaa,apa,elongasi,5
epe,apa,modifikasi vokal,3
seehh,sih,modifikasi vokal,5
yank,sayang,zeroisasi,4
yahh,ya,anaptiksis,4
gw,gue,homofon,2
syg,sayang,abreviasi,3
pny,punya,abreviasi,3
dapet,dapat,modifikasi vokal,5
kyanya,kayanya,abreviasi,6
bnget,banget,abreviasi,5
bgtt,banget,abreviasi,4
ma,sama,zeroisasi,2
ny,nya,abreviasi,2
d,di,abreviasi,1
bdan,badan,abreviasi,4
nyaaa,nya,elongasi,5
ngaku,mengaku,afiksasi,5
