en,id,jv,su,formal_id
then,kemudian,,,kemudian
but,tetapi,nanging,tapi,tetapi
hers,milik dia,,,milik dia
same,sama,,,sama
the,,,,
to,ke,menyang,ka,ke
mustn't,,,,
they're,,,,
her,dia,dheweke,anjeunna,dia
only,hanya,,,hanya
isn,,,,
not,tidak,ora,henteu,tidak
an,,,,
between,antara,,,antara
couldn,,,,
they've,,,,
haven't,,,,
shan't,,,,
most,paling,,,paling
was,adalah,,,adalah
ma,,,,
how,bagaimana,piye,kumaha,bagaimana
some,beberapa,,,beberapa
no,tidak,ora,henteu,tidak
them,mereka,wong-wong,aranjeunna,mereka
once,,,,
from,dari,saka,ti,dari
i,saya,aku,abdi,saya
themselves,mereka sendiri,,,mereka sendiri
he'll,,,,
you've,,,,
hadn,,,,
didn't,,,,
i've,,,,
into,,,,
does,,,,
out,,,,
such,,,,
are,adalah,,,adalah
you,kamu,kowe,anjeun,kamu
and,dan,lan,jeung,dan
when,ketika,nalika,nalika,ketika
on,di,ing,di,di
weren,,,,
all,semua,kabeh,sadaya,semua
they'd,,,,
ourselves,kita sendiri,,,kita sendiri
re,,,,
it's,,,,
down,,,,
s,,,,
won,,,,
any,apapun,,,apapun
been,telah,,,telah
ours,milik kita,,,milik kita
hasn't,,,,
over,,,,
that'll,,,,
i'd,,,,
they,mereka,wong-wong,aranjeunna,mereka
doing,,,,
i'm,,,,
its,miliknya,,,miliknya
doesn't,,,,
can,bisa,,,bisa
again,,,,
these,ini,iki,ieu,ini
had,punya,,,punya
yourselves,,,,
she'll,,,,
am,,,,
yourself,kamu sendiri,,,kamu sendiri
each,,,,
we're,,,,
you'll,,,,
his,dia,dheweke,anjeunna,dia
mightn,,,,
myself,saya sendiri,,,saya sendiri
you'd,,,,
further,,,,
hadn't,,,,
who,siapa,sapa,saha,siapa
we've,,,,
because,karena,merga,sabab,karena
it'll,,,,
yours,milik kamu,,,milik kamu
ll,,,,
or,atau,utawa,atawa,atau
this,ini,iki,ieu,ini
that,itu,iku,eta,itu
did,,,,
if,jika,yen,lamun,jika
o,,,,
than,,,,
where,dimana,ngendi,dimana,dimana
a,,,,
wouldn't,,,,
about,tentang,,,tentang
before,sebelum,,,sebelum
against,melawan,,,melawan
mightn't,,,,
wasn't,,,,
needn,,,,
we'd,,,,
he,dia,dheweke,anjeunna,dia
during,selama,,,selama
off,,,,
it,itu,iku,eta,itu
they'll,,,,
below,bawah,,,bawah
until,sampai,,,sampai
both,,,,
after,setelah,,,setelah
weren't,,,,
d,,,,
herself,dia sendiri,,,dia sendiri
by,oleh,dening,ku,oleh
those,itu,iku,eta,itu
their,mereka,wong-wong,aranjeunna,mereka
him,dia,dheweke,anjeunna,dia
in,di,ing,di,di
which,yang mana,,,yang mana
own,,,,
other,,,,
haven,,,,
ve,,,,
of,dari,saka,ti,dari
aren,,,,
should,harus,,,harus
himself,dia sendiri,,,dia sendiri
y,,,,
t,,,,
shan,,,,
up,,,,
will,akan,arep,bade,akan
be,adalah,,,adalah
hasn,,,,
i'll,,,,
too,terlalu,,,terlalu
wasn,,,,
itself,itu sendiri,,,itu sendiri
whom,,,,
m,,,,
me,saya,aku,abdi,saya
few,sedikit,sithik,saeutik,sedikit
she's,,,,
wouldn,,,,
he's,,,,
do,,,,
don't,,,,
shouldn't,,,,
ain,,,,
my,saya,aku,abdi,saya
nor,,,,
have,punya,,,punya
why,mengapa,ngapa,naha,mengapa
now,sekarang,saiki,ayeuna,sekarang
so,jadi,,,jadi
while,sementara,,,sementara
didn,,,,
being,sedang,lagi,nuju,sedang
at,di,ing,di,di
more,lebih,,,lebih
having,mempunyai,,,mempunyai
theirs,milik mereka,,,milik mereka
won't,,,,
she,dia,dheweke,anjeunna,dia
has,punya,,,punya
here,disini,,,disini
for,untuk,kanggo,pikeun,untuk
mustn,,,,
shouldn,,,,
very,sangat,banget,pisan,sangat
under,bawah,,,bawah
you're,,,,
it'd,,,,
your,kamu,kowe,anjeun,kamu
should've,,,,
we'll,,,,
what,apa,apa,naon,apa
he'd,,,,
our,kita,awake dhewe,urang,kita
she'd,,,,
above,atas,,,atas
isn't,,,,
there,disana,,,disana
aren't,,,,
we,kita,awake dhewe,urang,kita
through,melalui,,,melalui
were,adalah,,,adalah
doesn,,,,
needn't,,,,
as,,,,
is,adalah,,,adalah
don,,,,
with,dengan,karo,sareng,dengan
couldn't,,,,
just,hanya,,,hanya
haha,wkwk,,,haha
hahaha,wkwkwk,,,hahaha
hahahaha,wkwkwkwk,,,hahahaha
hehehe,xixixi,,,hehehe
hehe,xixi,,,hehe
hehe,hehe,,,hehe
hihi,hihi,,,hihi
hoho,hoho,,,hoho
huhu,huhu,,,huhu
hahaha,wakaka,,,hahaha
hahahaha,wakakaka,,,hahahaha
haha,kwkw,,,haha
hahaha,kwkwkw,,,hahaha
haha,kkkk,,,haha
hahaha,kkkkk,,,hahaha
,brb,,,be right back
,btw,,,by the way
,cmiiw,,,correct me if i am wrong
,fyi,,,for your information
this,imho,,,in my humble opinion
,lol,,,laugh out loud
,omg,,,oh my god
,wtf,,,what the f
,asap,,,as soon as possible
,aka,,,also known as
,etc,,,et cetera
,lmao,,,laugh my ass off
,rofl,,,rolling on floor laughing
,ttyl,,,talk to you later
this,imo,,,in my opinion
,tbh,,,to be honest
,nvm,,,never mind
,idk,,,i dont know
,irl,,,in real life
,dm,,,direct message
,pm,,,private message
i,gw,aku,abdi,saya
i,gue,aku,abdi,saya
i,aku,aku,abdi,saya
i,w,aku,abdi,saya
you,lu,kowe,anjeun,kamu
you,lo,kowe,anjeun,kamu
you,elu,kowe,anjeun,kamu
you,u,kowe,anjeun,kamu
he,dia,dheweke,anjeunna,dia
he,dy,dheweke,anjeunna,dia
they,mrk,wong-wong,aranjeunna,mereka
we,kt,awake dhewe,urang,kita
we,kmi,awake,kami,kami
father,bokap,,,ayah
mother,nyokap,,,ibu
,ortu,,,orang tua
,bro,,,saudara
from,sis,,,saudari
,gan,,,juragan
,agan,,,juragan
,suhu,,,master
good,mantap,apik,saé,bagus
good,keren,apik,saé,bagus
,anjay,,,wow
,anjir,,,wow
,buset,,,wow
,gilak,,,gila
,gokil,,,gila
want,kepo,,,ingin tahu
not,gabut,,,tidak ada kegiatan
,baper,,,bawa perasaan
,galau,,,bingung
,bucin,,,budak cinta
,jones,,,jomblo ngenes
what,php,,,pemberi harapan palsu
,pdkt,,,pendekatan
,ttm,,,teman tapi mesra
,clbk,,,cinta lama bersemi kembali
now,skrg,saiki,ayeuna,sekarang
now,skrang,saiki,ayeuna,sekarang
later,ntar,mengko,engké,nanti
later,tar,mengko,engké,nanti
,td,,,tadi
yesterday,kmrn,wingi,kamari,kemarin
tomorrow,bsk,sesuk,isukan,besok
day,hr,dina,dinten,hari
week,mgg,,,minggu
month,bln,,,bulan
year,thn,,,tahun
minute,mnt,,,menit
second,dtk,,,detik
hour,jam,,,jam
how,gimana,piye,kumaha,bagaimana
how,gmn,piye,kumaha,bagaimana
how,bgmn,piye,kumaha,bagaimana
why,kenapa,,,kenapa
why,knp,,,kenapa
why,knapa,,,kenapa
where,dimana,ngendi,dimana,dimana
where,dmn,ngendi,dimana,dimana
where,dmana,ngendi,dimana,dimana
where to,kemana,,,kemana
where to,kmn,,,kemana
where to,kmana,,,kemana
from,darimana,,,darimana
from,drmn,,,darimana
from,drmana,,,darimana
who,siapa,sapa,saha,siapa
who,spa,sapa,saha,siapa
who,sapa,sapa,saha,siapa
what,apa,apa,naon,apa
what,apaan,apa,naon,apa
what,apain,apa,naon,apa
which,mana,endi,mana,mana
which,mn,endi,mana,mana
when,kapan,kapan,iraha,kapan
when,kpn,kapan,iraha,kapan
when,kpan,kapan,iraha,kapan
not,gabisa,,,tidak bisa
not,gasuka,,,tidak suka
not,gatau,,,tidak tahu
not,gapapa,,,tidak apa-apa
already,udah,wis,parantos,sudah
already,udeh,wis,parantos,sudah
not yet,belom,durung,can,belum
not yet,blom,durung,can,belum
yes,iya,,,ya
yes,yup,,,ya
yes,yep,,,ya
just,aja,,,saja
just,doang,,,saja
,kok,,,
,sih,,,
,deh,,,
,dong,,,
,lah,,,
,kah,,,
,tuh,,,
,nih,,,
,yah,,,
,wah,,,
,nah,,,
,kan,,,
like that,gitu,kaya ngono,kitu,begitu
like this,gini,kaya ngene,kieu,begini
like,kayak,,,seperti
like,kaya,,,seperti
very,banget,banget,pisan,sangat
very,bgt,banget,pisan,sangat
,bener,,,benar
