en,id,jv,su,formal_id
the,,,,
they're,,,,mereka
only,hanya,,,hanya
isn,,,,bukan
an,,,,
between,antara,,,antara
they've,,,,mereka telah
haven't,,,,belum
most,paling,,,paling
was,adalah,,,adalah
ma,,,,
some,beberapa,,,beberapa
once,,,,
hadn,,,,belum
didn't,,,,tidak
are,adalah,,,adalah
weren,,,,
they'd,,,,
re,,,,
it's,,,,
s,,,,
any,apapun,,,apapun
been,telah,,,telah
hasn't,,,,
i'm,,,,
its,miliknya,,,miliknya
doesn't,,,,
can,bisa,,,bisa
again,,,,
had,punya,,,punya
yourselves,,,,
she'll,,,,
am,,,,
each,,,,
we're,,,,
you'll,,,,
mightn,,,,
you'd,,,,
further,,,,
hadn't,,,,
we've,,,,
it'll,,,,
ll,,,,
did,,,,
o,,,,
than,,,,
a,,,,
wouldn't,,,,
before,sebelum,,,sebelum
mightn't,,,,
wasn't,,,,
needn,,,,
we'd,,,,
off,,,,
they'll,,,,
below,bawah,,,bawah
until,sampai,,,sampai
both,,,,
after,setelah,,,setelah
d,,,,
which,yang mana,,,yang mana
own,,,,punya
other,,,,lainnya
haven,,,,belum
ve,,,,
aren,,,,tidak
should,harus,,,harus
y,,,,ya
t,,,,
shan,,,,
up,,,,
be,adalah,,,adalah
hasn,,,,
i'll,,,,
wasn,,,,
whom,,,,
m,,,,
she's,,,,
wouldn,,,,
he's,,,,
do,,,,
don't,,,,
shouldn't,,,,
ain,,,,
nor,,,,
have,punya,,,punya
didn,,,,
more,lebih,,,lebih
won't,,,,
has,punya,,,punya
here,disini,,,disini
mustn,,,,
shouldn,,,,
under,bawah,,,bawah
you're,,,,
it'd,,,,
should've,,,,
we'll,,,,
he'd,,,,
she'd,,,,
above,atas,,,atas
isn't,,,,
there,disana,,,disana
aren't,,,,
were,adalah,,,adalah
doesn,,,,
needn't,,,,
as,,,,
is,adalah,,,adalah
don,,,,
couldn't,,,,
just,hanya,,,hanya
haha,wkwk,,,haha
hahaha,wkwkwk,,,hahaha
hahahaha,wkwkwkwk,,,hahahaha
hehehe,xixixi,,,hehehe
hehe,xixi,,,hehe
hehe,hehe,,,hehe
hihi,hihi,,,hihi
hoho,hoho,,,hoho
huhu,huhu,,,huhu
hahaha,wakaka,,,hahaha
hahahaha,wakakaka,,,hahahaha
haha,kwkw,,,haha
hahaha,kwkwkw,,,hahaha
haha,kkkk,,,haha
