en,id,jv,su,formal_id
,yang,sing,nu,yang
,di,ing,di,di
,dan,lan,jeung,dan
,tidak,ora,henteu,tidak
,saya,aku,abdi,saya
,dengan,karo,sareng,dengan
,enak,,,enak
,ini,iki,ieu,ini
,untuk,kanggo,pikeun,untuk
,makan,,,makan
,makanan,,,makanan
,ke,menyang,ka,ke
,tempat,,,tempat
,juga,,,juga
,ada,ana,aya,ada
,sangat,banget,pisan,sangat
,dari,saka,ti,dari
,banyak,akeh,seueur,banyak
,sudah,wis,parantos,sudah
,sini,,,sini
,bisa,,,bisa
,kami,,,kami
,karena,,,karena
,cukup,,,cukup
,tapi,,,tapi
,saja,,,saja
,banget,,,banget
,itu,iku,eta,itu
,menu,,,menu
,harga,,,harga
,kalau,,,kalau
,rasa,,,rasa
,tempatnya,,,tempatnya
,sama,,,sama
,rasanya,,,rasanya
,restoran,,,restoran
,malam,,,malam
,orang,,,orang
,makanannya,,,makanannya
,nyaman,,,nyaman
,buat,,,buat
,jadi,,,jadi
,sekali,,,sekali
,hari,,,hari
,lagi,,,lagi
,mahal,,,mahal
,mau,,,mau
,bagus,apik,saé,bagus
,harganya,,,harganya
,sampai,,,sampai
,lebih,,,lebih
,datang,,,datang
,pemandangan,,,pemandangan
,biasa,,,biasa
,resto,,,resto
,saat,,,saat
,teman,,,teman
,suka,,,suka
,keluarga,,,keluarga
,hanya,,,hanya
,pelayanan,,,pelayanan
,ya,,,ya
,jalan,,,jalan
,suasana,,,suasana
,pas,,,pas
,ayam,,,ayam
,goreng,,,goreng
,pilihan,,,pilihan
,kota,,,kota
,terlalu,,,terlalu
,pun,,,pun
,kita,,,kita
,bandung,,,bandung
,adalah,,,adalah
,seperti,,,seperti
,pada,ing,dina,pada
,waktu,,,waktu
,akan,arep,bade,akan
,pesan,,,pesan
,nasi,,,nasi
,lama,,,lama
,dapat,,,dapat
,cocok,,,cocok
,atau,utawa,atawa,atau
,lumayan,,,lumayan
,memang,,,memang
,satu,,,satu
,baru,,,baru
,kurang,,,kurang
,jam,,,jam
,lain,,,lain
,masih,isih,masih,masih
,anak,,,anak
,sekarang,,,sekarang
,beberapa,,,beberapa
,dalam,ing jero,dina,dalam
,kali,,,kali
,apa,,,apa
,tetapi,,,tetapi
,harus,,,harus
,yang,sing,,yang
,dan,lan,,dan
,tidak,ora,,tidak
,dengan,karo,,dengan
,saya,aku,,saya
,di,ing,,di
,,enak,,
,ini,iki,,ini
,,ning,,
,untuk,kanggo,,untuk
,,mangan,,
,sangat,banget,,sangat
,ada,ana,,ada
,,uga,,
,,nanging,,
,,panganan,,
,banyak,akeh,,banyak
,,tenan,,
,,pas,,
,,panganane,,
,bagus,apik,,bagus
,dari,saka,,dari
,,isa,,
,,dadi,,
,,dhewe,,
,,panggonan,,
,,menu,,
,,cukup,,
,,rasane,,
,,sek,,
,,regane,,
,,kene,,
,,rasa,,
,,mung,,
,,restoran,,
,sudah,wis,,sudah
,,yen,,
,,amarga,,
,,rega,,
,,marang,,
,,uwis,,
,,kuwi,,
,,panggonane,,
,,panggon,,
,,kaya,,
,,teka,,
,,kanthi,,
,,pesen,,
,,seneng,,
,,lumayan,,
,,lak,,
,,pelayanane,,
,,luwih,,
,,larang,,
,,dinggo,,
,,nganggo,,
,,paling,,
,,wae,,
,,biasa,,
,,wektu,,
,,maneh,,
,,yaiku,,
,itu,iku,,itu
,,apa,,
,,kanca,,
,,resto,,
,,ya,,
,atau,utawa,,atau
,,wong,,
,,goreng,,
,,uwong,,
,,liyane,,
,,merga,,
,,nyaman,,
,,rena,,
,semua,kabeh,,semua
,,bandung,,
,,pemandangan,,
,,awakdewe,,
,,cocok,,
,,dina,,
,,mbengi,,
,,kurang,,
,,kudu,,
,,pirang,,
,,jam,,
,,panggone,,
,,kutha,,
,,sega,,
,,ae,,
,,nang,,
,,saiki,,
,,dalan,,
,,nyang,,
,,ngenteni,,
,,nggawe,,
,,terus,,
,,adoh,,
,,salah,,
,,nganti,,
,yang,,nu,yang
,dengan,,sareng,dengan
,di,,di,di
,,,teu,
,sangat,,pisan,sangat
,saya,,abdi,saya
,ke,,ka,ke
,ini,,ieu,ini
,ada,,aya,ada
,,,anu,
,,,raos,
,,,kanggo,
,,,oge,
,,,ku,
,,,tempat,
,,,tiasa,
,,,tuangeun,
,dari,,ti,dari
,,,tuang,
,dan,,jeung,dan
,,,dieu,
,banyak,,seueur,banyak
,,,kuring,
,,,na,
,,,rupi,
,pada,,dina,pada
,,,sae,
,,,kusabab,
,,,tos,
,itu,,eta,itu
,,,arurang,
,,,tempatna,
,,,cekap,
,tidak,,henteu,tidak
,,,rasana,
,untuk,,pikeun,untuk
,,,deui,
,,,ngan,
,,,urang,
,,,upami,
,,,sumping,
,,,hoyong,
,,,tuangeunna,
,,,wengi,
,,,pangaos,
,,,awis,
,,,janten,
,,,mesen,
,,,nyaeta,
,,,resep,
,,,sawaktos,
,,,sanes,
,,,pilihan,
,kamu,,anjeun,kamu
,,,merenah,
,,,ge,
,,,pangaosna,
,,,suasana,
,,,kota,
,,,cocog,
,,,ayeuna,
,,,pamandangan,
,,,jalan,
,,,mah,
,,,teuing,
,,,hayam,
,,,waktos,
,,,lami,
,,,keur,
,,,sababaraha,
,,,dinten,
,,,sapertos,
,,,teh,
,,,jadi,
,,,rerencangan,
,,,nepi,
,,,rada,
,,,tapi,
,,,ngeunah,
,,,leuwih,
,,,kulawargi,
,,,kitu,
,,,keneh,
,,,palayanan,
,,,bener,
,atau,,atawa,atau
,akan,,bade,akan
the,,,,
and,,,,
to,,,,
is,,,,
of,,,,
it,,,,
for,,,,
in,,,,
was,,,,
with,,,,
you,,,,
this,,,,
that,,,,
food,,,,
my,,,,
we,,,,
just,,,,
place,,,,
but,,,,
so,,,,
also,,,,
are,,,,
there,,,,
from,,,,
here,,,,
not,,,,
on,,,,
can,,,,
all,,,,
as,,,,
be,,,,
price,,,,
good,,,,
at,,,,
when,,,,
they,,,,
too,,,,
really,,,,
because,,,,
have,,,,
like,,,,
even,,,,
out,,,,
has,,,,
time,,,,
if,,,,
were,,,,
pretty,,,,
great,,,,
restaurant,,,,
one,,,,
taste,,,,
service,,,,
your,,,,
very,,,,
delicious,,,,
me,,,,
their,,,,
our,,,,
get,,,,
by,,,,
more,,,,
lot,,,,
or,,,,
no,,,,
don,,,,
an,,,,
other,,,,
had,,,,
ordered,,,,
fried,,,,
ve,,,,
up,,,,
family,,,,
what,,,,
still,,,,
about,,,,
re,,,,
people,,,,
while,,,,
after,,,,
come,,,,
got,,,,
chicken,,,,
wanna,,,,
recommended,,,,
first,,,,
since,,,,
perfect,,,,
only,,,,
been,,,,
night,,,,
doesn,,,,
no,tidak,ora,henteu,tidak
itself,,,,
nor,,,,
these,ini,iki,ieu,ini
don't,,,,
wasn't,,,,
this,ini,iki,ieu,ini
while,sementara,,,sementara
once,,,,
too,terlalu,,,terlalu
m,,,,
if,jika,,,jika
being,sedang,lagi,nuju,sedang
it'd,,,,
any,apapun,,,apapun
she'll,,,,
why,mengapa,,,mengapa
a,,,,
after,setelah,,,setelah
you're,,,,
that,itu,iku,eta,itu
it's,,,,
or,atau,utawa,atawa,atau
which,yang mana,,,yang mana
hadn't,,,,
down,,,,
her,dia,dheweke,anjeunna,dia
hers,,,,
again,,,,
them,mereka,,,mereka
we'll,,,,
were,adalah,,,adalah
has,punya,,,punya
themselves,,,,
more,lebih,,,lebih
below,,,,
we're,,,,
do,,,,
own,,,,
not,tidak,ora,henteu,tidak
shouldn,,,,
than,,,,
didn,,,,
mightn't,,,,
me,saya,aku,abdi,saya
weren't,,,,
did,,,,
i'd,,,,
i,saya,aku,abdi,saya
only,hanya,,,hanya
i'll,,,,
had,punya,,,punya
where,dimana,,,dimana
he'd,,,,
she,dia,dheweke,anjeunna,dia
been,telah,,,telah
having,,,,
over,,,,
further,,,,
they've,,,,
very,sangat,banget,pisan,sangat
isn,,,,
that'll,,,,
between,,,,
here,disini,,,disini
him,dia,dheweke,anjeunna,dia
haven,,,,
weren,,,,
when,ketika,,,ketika
you'd,,,,
was,adalah,,,adalah
during,,,,
doing,,,,
t,,,,
his,dia,dheweke,anjeunna,dia
does,,,,
each,,,,
until,,,,
such,,,,
few,sedikit,sithik,saeutik,sedikit
they'd,,,,
yourselves,,,,
wouldn,,,,
from,dari,saka,ti,dari
with,dengan,karo,sareng,dengan
ours,,,,
on,di,ing,di,di
how,bagaimana,,,bagaimana
needn,,,,
shan,,,,
herself,,,,
hasn't,,,,
they're,,,,
in,di,ing,di,di
mustn't,,,,
you've,,,,
my,saya,aku,abdi,saya
s,,,,
theirs,,,,
ourselves,,,,
there,disana,,,disana
what,apa,,,apa
am,,,,
d,,,,
he's,,,,
hasn,,,,
against,,,,
needn't,,,,
so,jadi,,,jadi
now,sekarang,,,sekarang
who,siapa,,,siapa
i'm,,,,
its,,,,
same,,,,
can,bisa,,,bisa
you,kamu,kowe,anjeun,kamu
yours,,,,
she'd,,,,
yourself,,,,
those,itu,iku,eta,itu
will,akan,arep,bade,akan
couldn,,,,
we've,,,,
she's,,,,
off,,,,
but,tetapi,,,tetapi
mustn,,,,
at,di,ing,di,di
then,kemudian,,,kemudian
y,,,,
haven't,,,,
aren,,,,
it'll,,,,
to,ke,menyang,ka,ke
himself,,,,
won,,,,
we'd,,,,
be,adalah,,,adalah
have,punya,,,punya
is,adalah,,,adalah
and,dan,lan,jeung,dan
i've,,,,
aren't,,,,
ma,,,,
mightn,,,,
they,mereka,,,mereka
they'll,,,,
couldn't,,,,
should,harus,,,harus
all,semua,kabeh,sadaya,semua
o,,,,
wasn,,,,
our,kita,,,kita
doesn't,,,,
he,dia,dheweke,anjeunna,dia
should've,,,,
under,,,,
before,sebelum,,,sebelum
by,oleh,,,oleh
ain,,,,
shan't,,,,
through,,,,
we,kita,,,kita
he'll,,,,
shouldn't,,,,
because,karena,,,karena
for,untuk,kanggo,pikeun,untuk
are,adalah,,,adalah
isn't,,,,
their,mereka,,,mereka
you'll,,,,
myself,,,,
most,paling,,,paling
it,itu,iku,eta,itu
didn't,,,,
hadn,,,,
of,dari,saka,ti,dari
above,,,,
whom,,,,
wouldn't,,,,
some,beberapa,,,beberapa
into,,,,
won't,,,,
your,kamu,kowe,anjeun,kamu
ll,,,,
just,hanya,,,hanya
both,,,,
,wkwk,,,haha
,wkwkwk,,,hahaha
,xixixi,,,hehehe
,hehe,,,hehe
,hihi,,,hihi
,brb,,,be right back
,btw,,,by the way
,cmiiw,,,correct me if i am wrong
,fyi,,,for your information
,imho,,,in my humble opinion
,lol,,,laugh out loud
,omg,,,oh my god
,wtf,,,what the f
,asap,,,as soon as possible
,aka,,,also known as
,etc,,,et cetera
,gw,aku,abdi,saya
,gue,aku,abdi,saya
,lu,kowe,anjeun,kamu
,lo,kowe,anjeun,kamu
,elu,kowe,anjeun,kamu
,bokap,,,ayah
,nyokap,,,ibu
,bro,,,saudara
,sis,,,saudari
,gan,,,juragan
,agan,,,juragan
,suhu,,,master
,newbie,,,pemula
,noob,,,pemula
,pro,,,profesional
,mantap,apik,saé,bagus
,keren,apik,saé,bagus
,anjay,,,wow
,anjir,,,wow
,buset,,,wow
,gilak,,,gila
,gokil,,,gila
,kepo,,,ingin tahu
,gabut,,,tidak ada kegiatan
,baper,,,bawa perasaan
,galau,,,bingung
,bucin,,,budak cinta
,jones,,,jomblo ngenes
,php,,,pemberi harapan palsu
,pdkt,,,pendekatan
,ttm,,,teman tapi mesra
,clbk,,,cinta lama bersemi kembali
,dia,dheweke,anjeunna,dia
,ketika,,,ketika
,belum,durung,can,belum
,yakni,,,yakni
,sebab,,,sebab
,tidak ada,,,tidak ada
,bila,,,bila
,aku,,,aku
,setiap,,,setiap
,sedang,lagi,nuju,sedang
,sedikit,sithik,saeutik,sedikit
,kamu,kowe,anjeun,kamu
,anda,,,anda
,jika,,,jika
,yaitu,,,yaitu
,semua,kabeh,sadaya,semua
,paling,,,paling
,ialah,,,ialah
,oleh,,,oleh
,telah,,,telah
,agak,,,agak
,namun,,,namun
,mereka,,,mereka
,bukan,,,bukan
,jangan,,,jangan
,astaga,,,astaga
,eh,,,eh
,iya,,,iya
,hmm,,,hmm
,mana,,,mana
,gitu,,,gitu
,yah,,,yah
,bgt,,,bgt
,nah,,,nah
,wah,,,wah
,duh,,,duh
,emang,,,emang
,um,,,um
,kenapa,,,kenapa
,bagaimana,,,bagaimana
,tuh,,,tuh
,deh,,,deh
,em,,,em
,gini,,,gini
,kayak,,,kayak
,nih,,,nih
,ah,,,ah
,kah,,,kah
,macam,,,macam
,yup,,,yup
,sih,,,sih
,kan,,,kan
,begitu,,,begitu
,begini,,,begini
,darimana,,,darimana
,kok,,,kok
,hm,,,hm
,bener,,,bener
,ih,,,ih
,kemana,,,kemana
,uh,,,uh
,lah,,,lah
,yep,,,yep
,kaya,,,kaya
,alamak,,,alamak
,waduh,,,waduh
,oh,,,oh
,kapan,,,kapan
,siapa,,,siapa
,aduh,,,aduh
,dimana,,,dimana
,dong,,,dong
,gimana,,,gimana
,mengapa,,,mengapa
lmao,,,,laugh my ass off
rofl,,,,rolling on floor laughing
ttyl,,,,talk to you later
imo,,,,in my opinion
tbh,,,,to be honest
nvm,,,,never mind
idk,,,,i dont know
irl,,,,in real life
dm,,,,direct message
pm,,,,private message
,woles,,,santai
,santuy,,,santai
,gabisa,,,tidak bisa
,gasuka,,,tidak suka
,gatau,,,tidak tahu
,gapapa,,,tidak apa-apa
,udah,,,sudah
,udeh,,,sudah
,belom,,,belum
,blom,,,belum
,gimana,,,bagaimana
,gmn,,,bagaimana
,knp,,,kenapa
,knapa,,,kenapa
,dmn,,,dimana
,kmn,,,kemana
,sapa,,,siapa
,apaan,,,apa
,ngapain,,,sedang apa
,lagi,,,sedang
,lg,,,sedang
,jg,,,juga
,tp,,,tetapi
,tapi,,,tetapi
,krn,,,karena
,karna,,,karena
,dgn,,,dengan
,sama,,,dengan
,utk,,,untuk
,buat,,,untuk
,dr,,,dari
,dri,,,dari
,ke,,,ke
,di,,,di
,pd,,,pada
,dlm,,,dalam
,sblm,,,sebelum
,stlh,,,setelah
,wkt,,,waktu
,,aku,,saya
,,kowe,,kamu
,,dheweke,,dia
,,awakmu,,kamu
,,awakne,,dia
,,iki,,ini
,,iku,,itu
,,kene,,sini
,,kono,,sana
,,ngendi,,dimana
,,piye,,bagaimana
,,ngapa,,kenapa
,,,abdi,saya
,,,anjeun,kamu
,,,anjeunna,dia
,,,ieu,ini
,,,eta,itu
,,,dieu,sini
,,,dinya,sana
,,,kumaha,bagaimana
,,,naon,apa
,,,saha,siapa
,,,iraha,kapan
,,,naha,kenapa
about,tentang,,,tentang
above,atas,,,atas
across,seberang,,,seberang
against,melawan,,,melawan
along,sepanjang,,,sepanjang
among,antara,,,antara
around,sekitar,,,sekitar
behind,belakang,,,belakang
below,bawah,,,bawah
beneath,bawah,,,bawah
beside,samping,,,samping
between,antara,,,antara
beyond,melampaui,,,melampaui
during,selama,,,selama
except,kecuali,,,kecuali
inside,dalam,,,dalam
outside,luar,,,luar
through,melalui,,,melalui
throughout,sepanjang,,,sepanjang
toward,menuju,,,menuju
towards,menuju,,,menuju
under,bawah,,,bawah
until,sampai,,,sampai
upon,atas,,,atas
within,dalam,,,dalam
without,tanpa,,,tanpa
,aja,,,saja
,doang,,,saja
,kok,,,
,sih,,,
,deh,,,
,dong,,,
,lah,,,
,kah,,,
,tuh,,,
,nih,,,
,yah,,,
,wah,,,
,aduh,,,
,astaga,,,
,alamak,,,
,waduh,,,
,duh,,,
,ih,,,
,eh,,,
,ah,,,
,oh,,,
,uh,,,
,hmm,,,
,hm,,,
,em,,,
,um,,,
,nah,,,
,kan,,,
,gitu,,,begitu
,gini,,,begini
,kayak,,,seperti
,kaya,,,seperti
,macam,,,seperti
,banget,,,sangat
,bgt,,,sangat
,bener,,,benar
,emang,,,memang
,memang,,,memang
one,satu,siji,hiji,satu
two,dua,loro,dua,dua
three,tiga,telu,tilu,tiga
four,empat,papat,opat,empat
five,lima,lima,lima,lima
six,enam,enem,genep,enam
